rabbitmq-1-1  | 2026-08-30 14:38:03.044649+00:00 [info] <0.1258.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.046457+00:00 [info] <0.1277.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.052301+00:00 [info] <0.1299.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.056902+00:00 [info] <0.1305.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.059341+00:00 [info] <0.1305.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.060389+00:00 [info] <0.1325.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.061753+00:00 [info] <0.1201.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.061753+00:00 [info] <0.1201.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-1-1  | 2026-08-30 14:38:41.684753+00:00 [info] <0.1456.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.691045+00:00 [info] <0.1456.0> Accepted MQTT connection 192.168.80.3:53724 -> 192.168.80.3:1883 for client ID sub-qos1-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.810677+00:00 [info] <0.1463.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.815944+00:00 [info] <0.1463.0> Accepted MQTT connection 192.168.80.3:53738 -> 192.168.80.3:1883 for client ID pub-qos1-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.827730+00:00 [info] <0.1463.0> MQTT connection <<"192.168.80.3:53738 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.828234+00:00 [info] <0.1456.0> MQTT connection <<"192.168.80.3:53724 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.045517+00:00 [info] <0.1476.0> accepting STOMP connection <0.1476.0> (192.168.80.3:54032 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:42.058993+00:00 [warning] <0.1476.0> AMQP 0-9-1 client call timeout was 70000 ms, is updated to a safe effective value of 130000 ms[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.085228+00:00 [info] <0.1480.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.146635+00:00 [info] <0.1476.0> closing STOMP connection <0.1476.0> (192.168.80.3:54032 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.369795+00:00 [info] <0.1497.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.371390+00:00 [info] <0.1497.0> Accepted MQTT connection 192.168.80.3:53754 -> 192.168.80.3:1883 for client ID sub-qos0-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.389756+00:00 [info] <0.1500.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.393361+00:00 [info] <0.1500.0> Accepted MQTT connection 192.168.80.3:53762 -> 192.168.80.3:1883 for client ID pub-qos0-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.394846+00:00 [info] <0.1500.0> MQTT connection <<"192.168.80.3:53762 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.395482+00:00 [info] <0.1497.0> MQTT connection <<"192.168.80.3:53754 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.469938+00:00 [info] <0.1513.0> accepting STOMP connection <0.1513.0> (192.168.80.3:54048 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.475898+00:00 [info] <0.1517.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.481687+00:00 [info] <0.1513.0> closing STOMP connection <0.1513.0> (192.168.80.3:54048 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:42.503945+00:00 [warning] <0.1534.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:42.504177+00:00 [error] <0.1534.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:45.506179+00:00 [error] <0.1534.0> Rejected MQTT connection 192.168.80.3:53772 -> 192.168.80.3:1883 with Connect Reason Code 134[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.545264+00:00 [info] <0.1541.0> accepting STOMP connection <0.1541.0> (192.168.80.3:41992 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:51.550786+00:00 [warning] <0.1545.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:51.552309+00:00 [warning] <0.1541.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> STOMP error frame sent:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> Message: "Bad CONNECT"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> Server private detail: none[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.553755+00:00 [info] <0.1541.0> closing STOMP connection <0.1541.0> (192.168.80.3:41992 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.572293+00:00 [info] <0.1547.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.574557+00:00 [info] <0.1547.0> Accepted MQTT connection 192.168.80.3:51506 -> 192.168.80.3:1883 for client ID compat-31[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.574783+00:00 [info] <0.1547.0> MQTT detected network error for <<"192.168.80.3:51506 -> 192.168.80.3:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.575483+00:00 [info] <0.1549.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576104+00:00 [info] <0.1549.0> Accepted MQTT connection 192.168.80.3:51520 -> 192.168.80.3:1883 for client ID compat-311[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576237+00:00 [info] <0.1549.0> MQTT detected network error for <<"192.168.80.3:51520 -> 192.168.80.3:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576746+00:00 [info] <0.1553.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.577093+00:00 [info] <0.1553.0> Accepted MQTT connection 192.168.80.3:51534 -> 192.168.80.3:1883 for client ID compat-50[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.577206+00:00 [info] <0.1553.0> MQTT connection <<"192.168.80.3:51534 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.594862+00:00 [info] <0.1568.0> accepting STOMP connection <0.1568.0> (192.168.80.3:42006 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.597403+00:00 [info] <0.1572.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.615684+00:00 [info] <0.1568.0> closing STOMP connection <0.1568.0> (192.168.80.3:42006 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.616834+00:00 [info] <0.1590.0> accepting STOMP connection <0.1590.0> (192.168.80.3:42018 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.617887+00:00 [info] <0.1595.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620077+00:00 [info] <0.1590.0> closing STOMP connection <0.1590.0> (192.168.80.3:42018 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620414+00:00 [info] <0.1614.0> accepting STOMP connection <0.1614.0> (192.168.80.3:42022 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620913+00:00 [info] <0.1618.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.623755+00:00 [info] <0.1614.0> closing STOMP connection <0.1614.0> (192.168.80.3:42022 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.873896+00:00 [info] <0.1723.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
