rabbitmq-1-1  | 2026-08-30 17:14:38.837586+00:00 [info] <0.1511.0> MQTT connection <<"172.29.0.4:32914 -> 172.29.0.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 17:14:38.837433+00:00 [info] <0.1504.0> MQTT connection <<"172.29.0.4:32898 -> 172.29.0.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.233279+00:00 [info] <0.1528.0> accepting STOMP connection <0.1528.0> (172.29.0.4:52616 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 17:14:39.272630+00:00 [warning] <0.1528.0> AMQP 0-9-1 client call timeout was 70000 ms, is updated to a safe effective value of 130000 ms[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.324691+00:00 [info] <0.1532.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.412814+00:00 [info] <0.1528.0> closing STOMP connection <0.1528.0> (172.29.0.4:52616 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.778260+00:00 [info] <0.1549.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.778969+00:00 [info] <0.1549.0> Accepted MQTT connection 172.29.0.4:32918 -> 172.29.0.4:1883 for client ID sub-qos0-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.796911+00:00 [info] <0.1552.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.848284+00:00 [info] <0.1552.0> Accepted MQTT connection 172.29.0.4:32926 -> 172.29.0.4:1883 for client ID pub-qos0-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.850589+00:00 [info] <0.1549.0> MQTT connection <<"172.29.0.4:32918 -> 172.29.0.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.850670+00:00 [info] <0.1552.0> MQTT connection <<"172.29.0.4:32926 -> 172.29.0.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.927050+00:00 [info] <0.1569.0> accepting STOMP connection <0.1569.0> (172.29.0.4:52620 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.928850+00:00 [info] <0.1573.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:14:39.935997+00:00 [info] <0.1569.0> closing STOMP connection <0.1569.0> (172.29.0.4:52620 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 17:14:39.966316+00:00 [warning] <0.1590.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:14:39.966472+00:00 [error] <0.1590.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:14:43.018808+00:00 [error] <0.1590.0> Rejected MQTT connection 172.29.0.4:32930 -> 172.29.0.4:1883 with Connect Reason Code 134[0m
