rabbitmq-2-1  |   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq-2-1  |   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq-2-1  |   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq-2-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-2-1  |
rabbitmq-2-1  |   Logs: <stdout>
rabbitmq-2-1  |
rabbitmq-2-1  |   Config file(s): /etc/rabbitmq/rabbitmq.conf
rabbitmq-2-1  |                   /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-2-1  |
rabbitmq-2-1  |   Starting broker...2026-08-30 14:19:08.581913+00:00 [info] <0.211.0> [0m
rabbitmq-2-1  | 2026-08-30 14:19:08.581913+00:00 [info] <0.211.0>  node           : rabbit@rabbitmq-2[0m
rabbitmq-2-1  | 2026-08-30 14:19:08.581913+00:00 [info] <0.211.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-2-1  | 2026-08-30 14:19:08.581913+00:00 [info] <0.211.0>  config file(s) : /etc/rabbitmq/rabbitmq.conf[0m
rabbitmq-2-1  | 2026-08-30 14:19:08.581913+00:00 [info] <0.211.0>                 : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-2-1  | 2026-08-30 14:19:08.581913+00:00 [info] <0.211.0>  log(s)         : <stdout>[0m
rabbitmq-2-1  | 2026-08-30 14:19:08.581913+00:00 [info] <0.211.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2[0m
rabbitmq-2-1  | 2026-08-30 14:19:09.976428+00:00 [info] <0.211.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:09.976556+00:00 [info] <0.211.0> Running boot step rabbit_global_counters defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:09.977793+00:00 [info] <0.211.0> Running boot step rabbit_osiris_metrics defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:09.977979+00:00 [info] <0.211.0> Running boot step rabbit_core_metrics defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:09.978930+00:00 [info] <0.211.0> Running boot step worker_pool defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:09.978993+00:00 [info] <0.566.0> Will use 12 processes for default worker pool[0m
rabbitmq-2-1  | 2026-08-30 14:19:09.979026+00:00 [info] <0.566.0> Starting worker pool 'worker_pool' with 12 processes in it[0m
rabbitmq-2-1  | 2026-08-30 14:19:10.018069+00:00 [info] <0.211.0> Running boot step rabbit_registry defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:10.018207+00:00 [info] <0.211.0> Running boot step database defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:10.151556+00:00 [info] <0.211.0> Peer discovery: configured backend: rabbit_peer_discovery_classic_config[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:19:10.429126+00:00 [notice] <0.211.0> Found the following metadata store members: [{rabbitmq_metadata,[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:19:10.429126+00:00 [notice] <0.211.0>                                               'rabbit@rabbitmq-1'},[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:19:10.429126+00:00 [notice] <0.211.0>                                              {rabbitmq_metadata,[0m
