rabbitmq-2-1  | 2026-08-30 14:38:42.209892+00:00 [info] <0.1484.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.245566+00:00 [info] <0.1480.0> closing STOMP connection <0.1480.0> (192.168.80.3:41332 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.396920+00:00 [info] <0.1505.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.397426+00:00 [info] <0.1505.0> Accepted MQTT connection 192.168.80.3:47402 -> 192.168.80.2:1883 for client ID sub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.415005+00:00 [info] <0.1508.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.424469+00:00 [info] <0.1508.0> Accepted MQTT connection 192.168.80.3:47414 -> 192.168.80.2:1883 for client ID pub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.425358+00:00 [info] <0.1505.0> MQTT connection <<"192.168.80.3:47402 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.425468+00:00 [info] <0.1508.0> MQTT connection <<"192.168.80.3:47414 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.484698+00:00 [info] <0.1521.0> accepting STOMP connection <0.1521.0> (192.168.80.3:41340 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.485474+00:00 [info] <0.1525.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:38:42.490242+00:00 [info] <0.1521.0> closing STOMP connection <0.1521.0> (192.168.80.3:41340 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:38:45.520853+00:00 [warning] <0.1544.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:38:45.522679+00:00 [error] <0.1544.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:38:48.525745+00:00 [error] <0.1544.0> Rejected MQTT connection 192.168.80.3:33420 -> 192.168.80.2:1883 with Connect Reason Code 134[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.559015+00:00 [info] <0.1549.0> accepting STOMP connection <0.1549.0> (192.168.80.3:39944 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:38:51.563223+00:00 [warning] <0.1553.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:38:51.564108+00:00 [warning] <0.1549.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:38:51.564186+00:00 [error] <0.1549.0> STOMP error frame sent:[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:38:51.564186+00:00 [error] <0.1549.0> Message: "Bad CONNECT"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:38:51.564186+00:00 [error] <0.1549.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:38:51.564186+00:00 [error] <0.1549.0> Server private detail: none[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.565944+00:00 [info] <0.1549.0> closing STOMP connection <0.1549.0> (192.168.80.3:39944 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.578912+00:00 [info] <0.1561.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.580047+00:00 [info] <0.1561.0> Accepted MQTT connection 192.168.80.3:33424 -> 192.168.80.2:1883 for client ID compat-50[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.580267+00:00 [info] <0.1561.0> MQTT detected network error for <<"192.168.80.3:33424 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.581074+00:00 [info] <0.1565.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.581514+00:00 [info] <0.1565.0> Accepted MQTT connection 192.168.80.3:33432 -> 192.168.80.2:1883 for client ID compat-31[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.581717+00:00 [info] <0.1565.0> MQTT detected network error for <<"192.168.80.3:33432 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.582569+00:00 [info] <0.1569.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.582943+00:00 [info] <0.1569.0> Accepted MQTT connection 192.168.80.3:33444 -> 192.168.80.2:1883 for client ID compat-311[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.583445+00:00 [info] <0.1569.0> MQTT detected network error for <<"192.168.80.3:33444 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.624618+00:00 [info] <0.1581.0> accepting STOMP connection <0.1581.0> (192.168.80.3:39960 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:38:51.625607+00:00 [info] <0.1585.0> User 'atlas' authenticated successfully[0m
