rabbitmq-1-1  | 2026-08-30 17:17:40.380170+00:00 [info] <0.2644.0> Successfully set permissions for user 'atlas' in virtual host 'atlas-secops-1788110260152515000' to '.*', '.*', '.*'[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.382585+00:00 [info] <0.2674.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.386313+00:00 [info] <0.2674.0> Created user 'atlas-secops-1788110260152515000-user'[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.388220+00:00 [info] <0.2675.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.392887+00:00 [info] <0.2675.0> Successfully set permissions for user 'atlas-secops-1788110260152515000-user' in virtual host 'atlas-secops-1788110260152515000' to '^allowed\..*$', '^allowed\..*$', '^allowed\..*$'[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.395322+00:00 [info] <0.2676.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.399641+00:00 [info] <0.2676.0> Successfully set permissions for user 'atlas' in virtual host 'atlas-secops-1788110260152515000' to '.*', '.*', '.*'[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.401170+00:00 [info] <0.2677.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.411999+00:00 [info] <0.2684.0> accepting AMQP connection 172.29.0.1:55027 -> 172.29.0.4:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 17:17:40.417158+00:00 [warning] <0.2684.0> User 'atlas-secops-1788110260152515000-user' failed to authenticate: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:40.417414+00:00 [error] <0.2684.0> Error on AMQP connection <0.2684.0> (172.29.0.1:55027 -> 172.29.0.4:5672, state: starting):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:40.417414+00:00 [error] <0.2684.0> PLAIN login refused: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
rabbitmq-1-1  | 2026-08-30 17:17:43.413924+00:00 [info] <0.2684.0> closing AMQP connection (172.29.0.1:55027 -> 172.29.0.4:5672, duration: '3s')[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.420670+00:00 [info] <0.2694.0> accepting AMQP connection 172.29.0.1:59642 -> 172.29.0.4:5672[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.426202+00:00 [info] <0.2694.0> User 'atlas-secops-1788110260152515000-user' authenticated successfully[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.427288+00:00 [error] <0.2694.0> Error on AMQP connection <0.2694.0> (172.29.0.1:59642 -> 172.29.0.4:5672, user: 'atlas-secops-1788110260152515000-user', state: opening):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.427288+00:00 [error] <0.2694.0> access to vhost '/' refused for user 'atlas-secops-1788110260152515000-user'[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.428172+00:00 [info] <0.2694.0> closing AMQP connection (172.29.0.1:59642 -> 172.29.0.4:5672, vhost: 'none', user: 'atlas-secops-1788110260152515000-user', duration: '8ms')[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.458179+00:00 [info] <0.2703.0> accepting AMQP connection 172.29.0.1:49229 -> 172.29.0.4:5672[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.460501+00:00 [info] <0.2703.0> User 'atlas-secops-1788110260152515000-user' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.462222+00:00 [info] <0.2703.0> connection 172.29.0.1:49229 -> 172.29.0.4:5672: user 'atlas-secops-1788110260152515000-user' authenticated and granted access to vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.495099+00:00 [error] <0.2722.0> Channel error on connection <0.2703.0> (172.29.0.1:49229 -> 172.29.0.4:5672, vhost: 'atlas-secops-1788110260152515000', user: 'atlas-secops-1788110260152515000-user'), channel 2:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.495099+00:00 [error] <0.2722.0> operation queue.declare caused a channel exception access_refused: configure access to queue 'forbidden.queue-new' in vhost 'atlas-secops-1788110260152515000' refused for user 'atlas-secops-1788110260152515000-user'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.497578+00:00 [error] <0.2729.0> Channel error on connection <0.2703.0> (172.29.0.1:49229 -> 172.29.0.4:5672, vhost: 'atlas-secops-1788110260152515000', user: 'atlas-secops-1788110260152515000-user'), channel 3:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.497578+00:00 [error] <0.2729.0> operation basic.consume caused a channel exception access_refused: read access to queue 'forbidden.queue' in vhost 'atlas-secops-1788110260152515000' refused for user 'atlas-secops-1788110260152515000-user'[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.499099+00:00 [info] <0.2703.0> closing AMQP connection (172.29.0.1:49229 -> 172.29.0.4:5672, vhost: 'atlas-secops-1788110260152515000', user: 'atlas-secops-1788110260152515000-user', duration: '41ms')[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.500688+00:00 [info] <0.2736.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.525035+00:00 [info] <0.2736.0> Successfully changed password for user 'atlas-secops-1788110260152515000-user'[0m
rabbitmq-1-1  | 2026-08-30 17:17:49.525150+00:00 [info] <0.2736.0> Successfully set user tags for user 'atlas-secops-1788110260152515000-user' to [][0m
rabbitmq-1-1  | 2026-08-30 17:17:49.527962+00:00 [info] <0.2742.0> accepting AMQP connection 172.29.0.1:20257 -> 172.29.0.4:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 17:17:49.530617+00:00 [warning] <0.2742.0> User 'atlas-secops-1788110260152515000-user' failed to authenticate: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.530891+00:00 [error] <0.2742.0> Error on AMQP connection <0.2742.0> (172.29.0.1:20257 -> 172.29.0.4:5672, state: starting):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:49.530891+00:00 [error] <0.2742.0> PLAIN login refused: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
