rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.672766+00:00 [warning] <0.1044.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.704013+00:00 [warning] <0.1040.0> closing AMQP connection <0.1040.0> (192.168.80.1:25802 -> 192.168.80.2:5672, duration: '44ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.704013+00:00 [warning] <0.1040.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.821414+00:00 [info] <0.1286.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.828568+00:00 [info] <0.1305.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.837034+00:00 [info] <0.1327.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.853224+00:00 [info] <0.1333.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.858932+00:00 [info] <0.1333.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.859601+00:00 [info] <0.1353.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.861623+00:00 [info] <0.1227.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.861623+00:00 [info] <0.1227.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 14:20:44.070487+00:00 [info] <0.1480.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.102792+00:00 [info] <0.1480.0> Accepted MQTT connection 192.168.80.4:54930 -> 192.168.80.2:1883 for client ID sub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.292428+00:00 [info] <0.1492.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.293130+00:00 [info] <0.1492.0> Accepted MQTT connection 192.168.80.4:54932 -> 192.168.80.2:1883 for client ID pub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.297531+00:00 [info] <0.1480.0> MQTT connection <<"192.168.80.4:54930 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.297476+00:00 [info] <0.1492.0> MQTT connection <<"192.168.80.4:54932 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.809951+00:00 [info] <0.1503.0> accepting STOMP connection <0.1503.0> (192.168.80.4:49472 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:44.841881+00:00 [warning] <0.1503.0> AMQP 0-9-1 client call timeout was 70000 ms, is updated to a safe effective value of 130000 ms[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.854955+00:00 [info] <0.1507.0> User 'atlas' authenticated successfully[0m
