rabbitmq-1-1  | [38;5;160m2026-08-30 14:19:18.656133+00:00 [error] <0.1077.0> {bad_version,{3,2,0,0}}[0m
rabbitmq-1-1  | 2026-08-30 14:19:18.657349+00:00 [info] <0.1083.0> accepting AMQP connection 192.168.80.1:56696 -> 192.168.80.4:5672[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:19:18.657469+00:00 [error] <0.1083.0> closing AMQP 1.0 connection (192.168.80.1:56696 -> 192.168.80.4:5672, duration: '0ms'): RabbitMQ requires SASL security layer (expected protocol ID 3, but client sent protocol ID 0)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:19:18.684761+00:00 [warning] <0.1066.0> closing AMQP connection <0.1066.0> (192.168.80.1:58300 -> 192.168.80.4:5672, duration: '42ms'):[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:19:18.684761+00:00 [warning] <0.1066.0> client unexpectedly closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.621643+00:00 [info] <0.1274.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.625444+00:00 [info] <0.1293.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.630482+00:00 [info] <0.1315.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.635560+00:00 [info] <0.1321.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.637261+00:00 [info] <0.1321.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.637746+00:00 [info] <0.1341.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.638801+00:00 [info] <0.1217.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-1-1  | 2026-08-30 14:19:21.638801+00:00 [info] <0.1217.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-1-1  | 2026-08-30 14:20:43.364961+00:00 [info] <0.1502.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:43.390623+00:00 [info] <0.1502.0> Accepted MQTT connection 192.168.80.4:53140 -> 192.168.80.4:1883 for client ID sub-qos1-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:20:44.004576+00:00 [info] <0.1514.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:44.010096+00:00 [info] <0.1514.0> Accepted MQTT connection 192.168.80.4:53148 -> 192.168.80.4:1883 for client ID pub-qos1-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:20:44.020320+00:00 [info] <0.1502.0> MQTT connection <<"192.168.80.4:53140 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
