rabbitmq-2-1  | 2026-08-30 14:19:13.080966+00:00 [info] <0.211.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.086784+00:00 [info] <0.211.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.087266+00:00 [info] <0.211.0> Running boot step rabbit_auth_mechanism_anonymous defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.088823+00:00 [info] <0.211.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089011+00:00 [info] <0.211.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089173+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089281+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089365+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089409+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_local_random defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089492+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_modulus_hash defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089574+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089641+00:00 [info] <0.211.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.089930+00:00 [info] <0.211.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.090212+00:00 [info] <0.211.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.090281+00:00 [info] <0.211.0> Running boot step pg_local_amqp_connection defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.175539+00:00 [info] <0.211.0> Running boot step pg_local_amqp_session defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.175748+00:00 [info] <0.211.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.175911+00:00 [info] <0.211.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.191106+00:00 [info] <0.791.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.191300+00:00 [info] <0.211.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.230306+00:00 [info] <0.211.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.230459+00:00 [info] <0.795.0> Starting rabbit_node_monitor[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.230531+00:00 [info] <0.211.0> Running boot step delegate_sup defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.230968+00:00 [info] <0.211.0> Running boot step rabbit_chaos defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231042+00:00 [info] <0.211.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231072+00:00 [info] <0.211.0> Running boot step core_initialized defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231089+00:00 [info] <0.211.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231128+00:00 [info] <0.211.0> Running boot step rabbit_classic_queue_type defined by app rabbit[0m
