rabbitmq-1-1  | 2026-08-30 14:43:17.734203+00:00 [info] <0.3838.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.762019+00:00 [info] <0.3856.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.768775+00:00 [info] <0.3829.0> closing AMQP connection (192.168.80.1:35571 -> 192.168.80.3:5672, vhost: '/', user: 'atlas', duration: '74ms')[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:18.019505+00:00 [notice] <0.64.0> SIGTERM received - shutting down[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:18.019505+00:00 [notice] <0.64.0> [0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.023435+00:00 [warning] <0.866.0> HTTP listener registry could not find context rabbitmq_prometheus_tls[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.038838+00:00 [warning] <0.866.0> HTTP listener registry could not find context rabbitmq_management_tls[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.052208+00:00 [info] <0.995.0> stopped TCP listener on [::]:5672[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.056118+00:00 [info] <0.807.0> Virtual host '/' is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.058027+00:00 [info] <0.3866.0> Closing all connections in vhost '/' on node 'rabbit@rabbitmq-1' because the vhost is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.058100+00:00 [info] <0.820.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent'[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.070851+00:00 [info] <0.820.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent' is stopped[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.071093+00:00 [info] <0.816.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.078951+00:00 [info] <0.816.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient' is stopped[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.087686+00:00 [warning] <0.535.0> RabbitMQ metadata store: worker exited with shutdown[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.097727+00:00 [warning] <0.3845.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': worker exited with shutdown[0m
