rabbitmq-3-1  | [38;5;160m2026-08-30 17:13:06.589180+00:00 [error] <0.1056.0> closing AMQP connection <0.1056.0> (172.29.0.1:23404 -> 172.29.0.2:5672, duration: '0ms'):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:13:06.589180+00:00 [error] <0.1056.0> {bad_version,{3,2,0,0}}[0m
rabbitmq-3-1  | 2026-08-30 17:13:06.591367+00:00 [info] <0.1064.0> accepting AMQP connection 172.29.0.1:64050 -> 172.29.0.2:5672[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:13:06.591618+00:00 [error] <0.1064.0> closing AMQP 1.0 connection (172.29.0.1:64050 -> 172.29.0.2:5672, duration: '0ms'): RabbitMQ requires SASL security layer (expected protocol ID 3, but client sent protocol ID 0)[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:13:06.638312+00:00 [warning] <0.1048.0> closing AMQP connection <0.1048.0> (172.29.0.1:35381 -> 172.29.0.2:5672, duration: '79ms'):[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:13:06.638312+00:00 [warning] <0.1048.0> client unexpectedly closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.144542+00:00 [info] <0.1293.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.145466+00:00 [info] <0.1312.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.148667+00:00 [info] <0.1334.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.152435+00:00 [info] <0.1340.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.154121+00:00 [info] <0.1340.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.154571+00:00 [info] <0.1360.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.154992+00:00 [info] <0.1234.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-3-1  | 2026-08-30 17:13:26.154992+00:00 [info] <0.1234.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-3-1  | 2026-08-30 17:14:39.020542+00:00 [info] <0.1493.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:14:39.040638+00:00 [info] <0.1493.0> Accepted MQTT connection 172.29.0.4:53070 -> 172.29.0.2:1883 for client ID sub-qos1-rabbitmq-3-1883[0m
