rabbitmq-2-1  | [38;5;214m2026-08-30 17:13:06.546724+00:00 [warning] <0.1025.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 17:13:06.549375+00:00 [info] <0.1032.0> accepting AMQP connection 172.29.0.1:55766 -> 172.29.0.3:5672[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 17:13:06.549497+00:00 [error] <0.1032.0> closing AMQP connection <0.1032.0> (172.29.0.1:55766 -> 172.29.0.3:5672, duration: '0ms'):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 17:13:06.549497+00:00 [error] <0.1032.0> {bad_version,{3,2,0,0}}[0m
rabbitmq-2-1  | 2026-08-30 17:13:06.554189+00:00 [info] <0.1038.0> accepting AMQP connection 172.29.0.1:25987 -> 172.29.0.3:5672[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 17:13:06.554471+00:00 [error] <0.1038.0> closing AMQP 1.0 connection (172.29.0.1:25987 -> 172.29.0.3:5672, duration: '0ms'): RabbitMQ requires SASL security layer (expected protocol ID 3, but client sent protocol ID 0)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 17:13:06.604960+00:00 [warning] <0.1021.0> closing AMQP connection <0.1021.0> (172.29.0.1:40953 -> 172.29.0.3:5672, duration: '81ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 17:13:06.604960+00:00 [warning] <0.1021.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.125645+00:00 [info] <0.1263.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.127329+00:00 [info] <0.1282.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.130984+00:00 [info] <0.1304.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.135229+00:00 [info] <0.1310.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.136781+00:00 [info] <0.1310.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.137455+00:00 [info] <0.1330.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.138458+00:00 [info] <0.1206.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-2-1  | 2026-08-30 17:13:20.138458+00:00 [info] <0.1206.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 17:14:38.852640+00:00 [info] <0.1464.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 17:14:38.857929+00:00 [info] <0.1464.0> Accepted MQTT connection 172.29.0.4:40746 -> 172.29.0.3:1883 for client ID sub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 17:14:38.996220+00:00 [info] <0.1471.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 17:14:38.996994+00:00 [info] <0.1471.0> Accepted MQTT connection 172.29.0.4:40756 -> 172.29.0.3:1883 for client ID pub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 17:14:39.006615+00:00 [info] <0.1464.0> MQTT connection <<"172.29.0.4:40746 -> 172.29.0.3:1883">> will terminate because peer closed TCP connection[0m
