rabbitmq-3-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-3-1  |
rabbitmq-3-1  |   Logs: <stdout>
rabbitmq-3-1  |
rabbitmq-3-1  |   Config file(s): /etc/rabbitmq/rabbitmq.conf
rabbitmq-3-1  |                   /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-3-1  |
rabbitmq-3-1  |   Starting broker...2026-08-30 17:12:57.053325+00:00 [info] <0.211.0> [0m
rabbitmq-3-1  | 2026-08-30 17:12:57.053325+00:00 [info] <0.211.0>  node           : rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.053325+00:00 [info] <0.211.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.053325+00:00 [info] <0.211.0>  config file(s) : /etc/rabbitmq/rabbitmq.conf[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.053325+00:00 [info] <0.211.0>                 : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.053325+00:00 [info] <0.211.0>  log(s)         : <stdout>[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.053325+00:00 [info] <0.211.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.596707+00:00 [info] <0.211.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.596845+00:00 [info] <0.211.0> Running boot step rabbit_global_counters defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.597985+00:00 [info] <0.211.0> Running boot step rabbit_osiris_metrics defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.598259+00:00 [info] <0.211.0> Running boot step rabbit_core_metrics defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.600422+00:00 [info] <0.211.0> Running boot step worker_pool defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.600942+00:00 [info] <0.557.0> Will use 12 processes for default worker pool[0m
rabbitmq-3-1  | 2026-08-30 17:12:57.601034+00:00 [info] <0.557.0> Starting worker pool 'worker_pool' with 12 processes in it[0m
