rabbitmq-2-1  | 2026-08-30 14:20:45.222010+00:00 [info] <0.1540.0> closing STOMP connection <0.1540.0> (192.168.80.4:49488 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:48.241269+00:00 [warning] <0.1561.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:48.241561+00:00 [error] <0.1561.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:51.245574+00:00 [error] <0.1561.0> Rejected MQTT connection 192.168.80.4:54954 -> 192.168.80.2:1883 with Connect Reason Code 134[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.381588+00:00 [info] <0.1567.0> accepting STOMP connection <0.1567.0> (192.168.80.4:40028 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:54.383916+00:00 [warning] <0.1571.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:54.385889+00:00 [warning] <0.1567.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> STOMP error frame sent:[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Message: "Bad CONNECT"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Server private detail: none[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.449321+00:00 [info] <0.1567.0> closing STOMP connection <0.1567.0> (192.168.80.4:40028 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.536143+00:00 [info] <0.1576.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.541674+00:00 [info] <0.1576.0> Accepted MQTT connection 192.168.80.4:35958 -> 192.168.80.2:1883 for client ID compat-31[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.542634+00:00 [info] <0.1576.0> MQTT connection <<"192.168.80.4:35958 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.544415+00:00 [info] <0.1581.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.545594+00:00 [info] <0.1581.0> Accepted MQTT connection 192.168.80.4:35966 -> 192.168.80.2:1883 for client ID compat-311[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.547075+00:00 [info] <0.1581.0> MQTT detected network error for <<"192.168.80.4:35966 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.547421+00:00 [info] <0.1583.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.549279+00:00 [info] <0.1583.0> Accepted MQTT connection 192.168.80.4:35970 -> 192.168.80.2:1883 for client ID compat-50[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.549350+00:00 [info] <0.1583.0> MQTT detected network error for <<"192.168.80.4:35970 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.606103+00:00 [info] <0.1594.0> accepting STOMP connection <0.1594.0> (192.168.80.4:40036 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.606821+00:00 [info] <0.1598.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.638707+00:00 [info] <0.1594.0> closing STOMP connection <0.1594.0> (192.168.80.4:40036 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.639404+00:00 [info] <0.1617.0> accepting STOMP connection <0.1617.0> (192.168.80.4:40040 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.639709+00:00 [info] <0.1621.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649378+00:00 [info] <0.1617.0> closing STOMP connection <0.1617.0> (192.168.80.4:40040 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649622+00:00 [info] <0.1636.0> accepting STOMP connection <0.1636.0> (192.168.80.4:40056 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649975+00:00 [info] <0.1640.0> User 'atlas' authenticated successfully[0m
