rabbitmq-3-1  | 2026-08-30 13:54:25.566477+00:00 [info] <0.558.0> Starting worker pool 'definition_import_pool' with 12 processes in it[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.566765+00:00 [info] <0.782.0> rabbit on node 'rabbit@rabbitmq-2' up[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.566910+00:00 [info] <0.209.0> Running boot step cluster_name defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.566940+00:00 [info] <0.209.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.567334+00:00 [info] <0.209.0> Running boot step direct_client defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.567407+00:00 [info] <0.209.0> Running boot step logger_exchange defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.568956+00:00 [info] <0.209.0> Running boot step cluster_tags defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.569869+00:00 [info] <0.209.0> Running boot step queue_type_registrations defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.569892+00:00 [info] <0.209.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.570066+00:00 [info] <0.859.0> Resetting node maintenance status[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:25.576462+00:00 [warning] <0.877.0> Deprecated features: `management_metrics_collection`: Feature `management_metrics_collection` is deprecated.[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:25.576462+00:00 [warning] <0.877.0> By default, this feature can still be used for now.[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:25.576462+00:00 [warning] <0.877.0> Its use will not be permitted by default in a future minor RabbitMQ version and the feature will be removed from a future major RabbitMQ version; actual versions to be determined.[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:25.576462+00:00 [warning] <0.877.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:25.576462+00:00 [warning] <0.877.0>     "deprecated_features.permit.management_metrics_collection = true"[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:25.576462+00:00 [warning] <0.877.0> To test RabbitMQ as if the feature was removed, set this in your configuration:[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:25.576462+00:00 [warning] <0.877.0>     "deprecated_features.permit.management_metrics_collection = false"[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.602795+00:00 [info] <0.915.0> Management plugin: HTTP (non-TLS) listener started on port 15672[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.603025+00:00 [info] <0.944.0> Statistics database started.[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.603076+00:00 [info] <0.943.0> Starting worker pool 'management_worker_pool' with 3 processes in it[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.614293+00:00 [info] <0.961.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.614382+00:00 [info] <0.859.0> Ready to start client connection listeners[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.615891+00:00 [info] <0.1007.0> started TCP listener on [::]:5672[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.651672+00:00 [info] <0.782.0> rabbit on node 'rabbit@rabbitmq-2' up[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.687586+00:00 [info] <0.782.0> rabbit on node 'rabbit@rabbitmq-1' up[0m
rabbitmq-3-1  |  completed with 4 plugins.
rabbitmq-3-1  | 2026-08-30 13:54:25.706036+00:00 [info] <0.859.0> Server startup complete; 4 plugins started.[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.706036+00:00 [info] <0.859.0>  * rabbitmq_prometheus[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.706036+00:00 [info] <0.859.0>  * rabbitmq_management[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.706036+00:00 [info] <0.859.0>  * rabbitmq_management_agent[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.706036+00:00 [info] <0.859.0>  * rabbitmq_web_dispatch[0m
rabbitmq-3-1  | 2026-08-30 13:54:25.770650+00:00 [info] <0.10.0> Time to start RabbitMQ: 7073 ms[0m
