rabbitmq-1-1  |   TLS Library: OpenSSL - OpenSSL 3.5.8 25 Aug 2026
rabbitmq-1-1  |   Release series support status: see https://www.rabbitmq.com/release-information
rabbitmq-1-1  |
rabbitmq-1-1  |   Doc guides:  https://www.rabbitmq.com/docs
rabbitmq-1-1  |   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq-1-1  |   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq-1-1  |   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq-1-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-1-1  |
rabbitmq-1-1  |   Logs: <stdout>
rabbitmq-1-1  |
rabbitmq-1-1  |   Config file(s): /etc/rabbitmq/rabbitmq.conf
rabbitmq-1-1  |                   /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-1-1  |
rabbitmq-1-1  |   Starting broker...2026-08-30 14:43:49.068959+00:00 [info] <0.209.0> [0m
rabbitmq-1-1  | 2026-08-30 14:43:49.068959+00:00 [info] <0.209.0>  node           : rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.068959+00:00 [info] <0.209.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.068959+00:00 [info] <0.209.0>  config file(s) : /etc/rabbitmq/rabbitmq.conf[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.068959+00:00 [info] <0.209.0>                 : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.068959+00:00 [info] <0.209.0>  log(s)         : <stdout>[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.068959+00:00 [info] <0.209.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.260083+00:00 [info] <0.209.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.260177+00:00 [info] <0.209.0> Running boot step rabbit_global_counters defined by app rabbit[0m
