rabbitmq-2-1  | 2026-08-30 11:42:35.817596+00:00 [info] <0.969.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.817646+00:00 [info] <0.877.0> Ready to start client connection listeners[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.818381+00:00 [info] <0.1013.0> started TCP listener on [::]:5672[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.885014+00:00 [info] <0.877.0> Server startup complete; 4 plugins started.[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.885014+00:00 [info] <0.877.0>  * rabbitmq_prometheus[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.885014+00:00 [info] <0.877.0>  * rabbitmq_management[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.885014+00:00 [info] <0.877.0>  * rabbitmq_management_agent[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.885014+00:00 [info] <0.877.0>  * rabbitmq_web_dispatch[0m
rabbitmq-2-1  |  completed with 4 plugins.
rabbitmq-2-1  | [38;5;87m2026-08-30 11:42:35.889821+00:00 [notice] <0.822.0> rabbit_stream_coordinator: candidate -> leader in term: 16 machine version: 7, last applied 448[0m
rabbitmq-2-1  | 2026-08-30 11:42:35.988272+00:00 [info] <0.10.0> Time to start RabbitMQ: 3438 ms[0m
rabbitmq-2-1  | 2026-08-30 11:42:39.750552+00:00 [info] <0.1045.0> accepting AMQP connection 192.168.80.1:19295 -> 192.168.80.4:5672[0m
rabbitmq-2-1  | 2026-08-30 11:42:39.752897+00:00 [info] <0.1049.0> accepting AMQP connection 192.168.80.1:33757 -> 192.168.80.4:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:42:39.766842+00:00 [warning] <0.1049.0> closing AMQP connection <0.1049.0> (192.168.80.1:33757 -> 192.168.80.4:5672, duration: '14ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:42:39.766842+00:00 [warning] <0.1049.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:42:39.767067+00:00 [info] <0.1054.0> accepting AMQP connection 192.168.80.1:56001 -> 192.168.80.4:5672[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:42:39.767297+00:00 [error] <0.1054.0> closing AMQP connection <0.1054.0> (192.168.80.1:56001 -> 192.168.80.4:5672, duration: '0ms'):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:42:39.767297+00:00 [error] <0.1054.0> {bad_version,{3,2,0,0}}[0m
rabbitmq-2-1  | 2026-08-30 11:42:39.768508+00:00 [info] <0.1062.0> accepting AMQP connection 192.168.80.1:25892 -> 192.168.80.4:5672[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:42:39.768643+00:00 [error] <0.1062.0> closing AMQP 1.0 connection (192.168.80.1:25892 -> 192.168.80.4:5672, duration: '0ms'): RabbitMQ requires SASL security layer (expected protocol ID 3, but client sent protocol ID 0)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:42:39.792881+00:00 [warning] <0.1045.0> closing AMQP connection <0.1045.0> (192.168.80.1:19295 -> 192.168.80.4:5672, duration: '42ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:42:39.792881+00:00 [warning] <0.1045.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.838123+00:00 [info] <0.1255.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.838742+00:00 [info] <0.1274.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.840693+00:00 [info] <0.1296.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.842488+00:00 [info] <0.1302.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.843321+00:00 [info] <0.1302.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.843606+00:00 [info] <0.1322.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.843973+00:00 [info] <0.1198.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-2-1  | 2026-08-30 11:42:42.843973+00:00 [info] <0.1198.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 11:42:52.385026+00:00 [info] <0.1438.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.385634+00:00 [info] <0.1438.0> Accepted MQTT connection 192.168.80.2:51652 -> 192.168.80.4:1883 for client ID sub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.398316+00:00 [info] <0.1445.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.398808+00:00 [info] <0.1445.0> Accepted MQTT connection 192.168.80.2:51656 -> 192.168.80.4:1883 for client ID pub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.399745+00:00 [info] <0.1445.0> MQTT connection <<"192.168.80.2:51656 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.399800+00:00 [info] <0.1438.0> MQTT connection <<"192.168.80.2:51652 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.455203+00:00 [info] <0.1458.0> accepting STOMP connection <0.1458.0> (192.168.80.2:44674 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:42:52.458199+00:00 [warning] <0.1458.0> AMQP 0-9-1 client call timeout was 70000 ms, is updated to a safe effective value of 130000 ms[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.461926+00:00 [info] <0.1462.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.470009+00:00 [info] <0.1458.0> closing STOMP connection <0.1458.0> (192.168.80.2:44674 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.493528+00:00 [info] <0.1483.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.494243+00:00 [info] <0.1483.0> Accepted MQTT connection 192.168.80.2:51672 -> 192.168.80.4:1883 for client ID sub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.496968+00:00 [info] <0.1486.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.497143+00:00 [info] <0.1486.0> Accepted MQTT connection 192.168.80.2:51686 -> 192.168.80.4:1883 for client ID pub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.497457+00:00 [info] <0.1483.0> MQTT connection <<"192.168.80.2:51672 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.497457+00:00 [info] <0.1486.0> MQTT connection <<"192.168.80.2:51686 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.505145+00:00 [info] <0.1499.0> accepting STOMP connection <0.1499.0> (192.168.80.2:44684 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.505568+00:00 [info] <0.1503.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:42:52.506712+00:00 [info] <0.1499.0> closing STOMP connection <0.1499.0> (192.168.80.2:44684 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:42:55.512818+00:00 [warning] <0.1522.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:42:55.512975+00:00 [error] <0.1522.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:42:58.513400+00:00 [error] <0.1522.0> Rejected MQTT connection 192.168.80.2:45320 -> 192.168.80.4:1883 with Connect Reason Code 134[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.531132+00:00 [info] <0.1529.0> accepting STOMP connection <0.1529.0> (192.168.80.2:54778 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:43:01.533426+00:00 [warning] <0.1533.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:43:01.533917+00:00 [warning] <0.1529.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:43:01.534080+00:00 [error] <0.1529.0> STOMP error frame sent:[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:43:01.534080+00:00 [error] <0.1529.0> Message: "Bad CONNECT"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:43:01.534080+00:00 [error] <0.1529.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:43:01.534080+00:00 [error] <0.1529.0> Server private detail: none[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.534702+00:00 [info] <0.1529.0> closing STOMP connection <0.1529.0> (192.168.80.2:54778 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.545677+00:00 [info] <0.1541.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.546564+00:00 [info] <0.1541.0> Accepted MQTT connection 192.168.80.2:45330 -> 192.168.80.4:1883 for client ID compat-31[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.546730+00:00 [info] <0.1541.0> MQTT connection <<"192.168.80.2:45330 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.547415+00:00 [info] <0.1546.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.547714+00:00 [info] <0.1546.0> Accepted MQTT connection 192.168.80.2:45336 -> 192.168.80.4:1883 for client ID compat-311[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.547826+00:00 [info] <0.1546.0> MQTT connection <<"192.168.80.2:45336 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
