rabbitmq-1-1  | 2026-08-30 14:25:37.468862+00:00 [info] <0.859.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 14:25:37.476907+00:00 [info] <0.859.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient' is stopped[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:25:37.497430+00:00 [warning] <0.547.0> RabbitMQ metadata store: worker exited with shutdown[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:25:37.529718+00:00 [warning] <0.3714.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': worker exited with shutdown[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:25:37.552843+00:00 [warning] <0.832.0> rabbit_stream_coordinator: worker exited with shutdown[0m
rabbitmq-1-1  | 2026-08-30 14:25:57.361637+00:00 [warning] <0.144.0> Overriding Erlang cookie using the value set in the environment
rabbitmq-1-1  | 2026-08-30 14:26:00.450228+00:00 [notice] <0.45.0> Application syslog exited with reason: stopped
rabbitmq-1-1  | 2026-08-30 14:26:00.451819+00:00 [notice] <0.215.0> Logging: switching to configured handler(s); following messages may not be visible in this log output
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:00.456724+00:00 [notice] <0.215.0> Logging: configured log handlers are now ACTIVE[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.468887+00:00 [info] <0.215.0> ra: starting system coordination[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.469348+00:00 [info] <0.215.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/coordination/rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.498350+00:00 [info] <0.508.0> ra_coordination_log_ets: in system coordination initialising. Mem table opts: [set,{write_concurrency,auto},public,{compressed,false}][0m
rabbitmq-1-1  | 2026-08-30 14:26:00.719700+00:00 [info] <0.514.0> ra system 'coordination' running pre init for 2 registered servers[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.783124+00:00 [info] <0.515.0> ra: meta data store initialised for system coordination. 2 record(s) recovered[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:00.844780+00:00 [notice] <0.523.0> WAL in coordination initialising with name ra_coordination_log_wal[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.928713+00:00 [info] <0.215.0> ra: starting system quorum_queues[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.928778+00:00 [info] <0.215.0> starting Ra system: quorum_queues in directory: /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/quorum/rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.928980+00:00 [info] <0.529.0> ra_log_ets: in system quorum_queues initialising. Mem table opts: [set,{write_concurrency,auto},public,{compressed,true}][0m
rabbitmq-1-1  | 2026-08-30 14:26:00.930473+00:00 [info] <0.533.0> ra system 'quorum_queues' running pre init for 14 registered servers[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.962112+00:00 [info] <0.535.0> ra: meta data store initialised for system quorum_queues. 14 record(s) recovered[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:00.962815+00:00 [notice] <0.543.0> WAL in quorum_queues initialising with name ra_log_wal[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.985300+00:00 [info] <0.546.0> ra_system_recover: ra system 'quorum_queues' server recovery strategy rabbit_quorum_queue:system_recover[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.985468+00:00 [info] <0.546.0> [rabbit_quorum_queue:system_recover/1] rabbit not booted, skipping queue recovery[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.985567+00:00 [info] <0.215.0> ra: starting system coordination[0m
rabbitmq-1-1  | 2026-08-30 14:26:00.985581+00:00 [info] <0.215.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/coordination/rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.256620+00:00 [info] <0.548.0> RabbitMQ metadata store: using recovery checkpoint at index 4102, machine version 3 to skip log replay from 0[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.565269+00:00 [info] <0.548.0> RabbitMQ metadata store: follower did not have entry at 4723 in 25. Requesting {rabbitmq_metadata,'rabbit@rabbitmq-3'} from 4706[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.578235+00:00 [info] <0.548.0> RabbitMQ metadata store: detected a new leader {rabbitmq_metadata,'rabbit@rabbitmq-3'} in term 25[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.582955+00:00 [notice] <0.215.0> Feature flags: checking nodes `rabbit@rabbitmq-1` and `rabbit@rabbitmq-2` compatibility...[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.585767+00:00 [notice] <0.215.0> Feature flags: nodes `rabbit@rabbitmq-1` and `rabbit@rabbitmq-2` are compatible[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.586595+00:00 [info] <0.215.0> [0m
rabbitmq-1-1  | 2026-08-30 14:26:01.586595+00:00 [info] <0.215.0>  Starting RabbitMQ 4.3.5 on Erlang 27.3.4.16 [jit][0m
rabbitmq-1-1  | 2026-08-30 14:26:01.586595+00:00 [info] <0.215.0>  Copyright (c) 2007-2026 Broadcom Inc and/or its subsidiaries[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.586595+00:00 [info] <0.215.0>  Licensed under the MPL 2.0. Website: https://rabbitmq.com[0m
rabbitmq-1-1  |
rabbitmq-1-1  |   ##  ##      RabbitMQ 4.3.5
rabbitmq-1-1  |   ##  ##
rabbitmq-1-1  |   ##########  Copyright (c) 2007-2026 Broadcom Inc and/or its subsidiaries
rabbitmq-1-1  |   ######  ##
rabbitmq-1-1  |   ##########  Licensed under the MPL 2.0. Website: https://rabbitmq.com
rabbitmq-1-1  |
rabbitmq-1-1  |   Erlang:      27.3.4.16 [jit]
rabbitmq-1-1  |   TLS Library: OpenSSL - OpenSSL 3.5.8 25 Aug 2026
rabbitmq-1-1  |   Release series support status: see https://www.rabbitmq.com/release-information
rabbitmq-1-1  |
rabbitmq-1-1  |   Doc guides:  https://www.rabbitmq.com/docs
rabbitmq-1-1  |   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq-1-1  |   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq-1-1  |   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq-1-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-1-1  |
