rabbitmq-3-1  |
rabbitmq-3-1  |   Logs: <stdout>
rabbitmq-3-1  |
rabbitmq-3-1  |   Config file(s): /etc/rabbitmq/rabbitmq.conf
rabbitmq-3-1  |                   /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-3-1  |
rabbitmq-3-1  |   Starting broker...2026-08-30 14:37:53.073428+00:00 [info] <0.209.0> [0m
rabbitmq-3-1  | 2026-08-30 14:37:53.073428+00:00 [info] <0.209.0>  node           : rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.073428+00:00 [info] <0.209.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.073428+00:00 [info] <0.209.0>  config file(s) : /etc/rabbitmq/rabbitmq.conf[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.073428+00:00 [info] <0.209.0>                 : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.073428+00:00 [info] <0.209.0>  log(s)         : <stdout>[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.073428+00:00 [info] <0.209.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.875024+00:00 [info] <0.209.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.875196+00:00 [info] <0.209.0> Running boot step rabbit_global_counters defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.875934+00:00 [info] <0.209.0> Running boot step rabbit_osiris_metrics defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.876120+00:00 [info] <0.209.0> Running boot step rabbit_core_metrics defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.877020+00:00 [info] <0.209.0> Running boot step worker_pool defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.877138+00:00 [info] <0.552.0> Will use 12 processes for default worker pool[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.877179+00:00 [info] <0.552.0> Starting worker pool 'worker_pool' with 12 processes in it[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.889898+00:00 [info] <0.209.0> Running boot step rabbit_registry defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.890134+00:00 [info] <0.209.0> Running boot step database defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:53.930799+00:00 [info] <0.209.0> Peer discovery: configured backend: rabbit_peer_discovery_classic_config[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:37:53.933279+00:00 [notice] <0.209.0> Found the following metadata store members: [{rabbitmq_metadata,[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:37:53.933279+00:00 [notice] <0.209.0>                                               'rabbit@rabbitmq-1'},[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:37:53.933279+00:00 [notice] <0.209.0>                                              {rabbitmq_metadata,[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:37:53.933279+00:00 [notice] <0.209.0>                                               'rabbit@rabbitmq-2'},[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:37:53.933279+00:00 [notice] <0.209.0>                                              {rabbitmq_metadata,[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:37:53.933279+00:00 [notice] <0.209.0>                                               'rabbit@rabbitmq-3'}][0m
rabbitmq-3-1  | 2026-08-30 14:37:54.162259+00:00 [info] <0.209.0> Running boot step tracking_metadata_store defined by app rabbit[0m
